MedCodeId	Term	Count
100716012	Body mass index	66499074
253848011	Body mass index 30+ - obesity	270339
253847018	Body mass index index 25-29 - overweight	235946
253844013	Normal body mass index	149212
453856012	Body mass index less than 20	74427
253845014	Increased body mass index	24175
2474325012	Body mass index 20-24 - normal	10797
11923361000006119	Finding of body mass index	9963
2160062010	Body mass index 40+ - severely obese	7187
3484801000006114	BMI - Body mass index	6133
253846010	Decreased body mass index	5079
1900331000006113	Obese class III (body mass index equal to or greater than 40.0)	1242
923861000006112	Body mass index	481
4553741000006118	BMI 30+ - obesity	113
5998281000006119	BMI less than 20	76
