MedCodeId	Term	Count
259232010	Serum high density lipoprotein cholesterol level	38383927
458313013	Plasma HDL (high density lipoprotein) cholesterol level	1399603
259243019	Serum random HDL (high density lipoprotein) cholesterol level	37125
259242012	Serum fasting HDL (high density lipoprotein) cholesterol level	23424
259564016	Plasma random HDL (high density lipoprotein) cholesterol level	1707
259567011	Plasma fasting HDL (high density lipoprotein) cholesterol level	836
855771000006118	HDL cholesterol level	812
2949971000006113	High density lipoprotein cholesterol measurement	193
2650141000006111	HDL	154
4079571000006118	HDL cholesterol	114
