MedCodeId	Term	Count
259233017	Serum low density lipoprotein cholesterol level	20797896
1488764011	Calculated LDL (low density lipoprotein) cholesterol level	5558683
458314019	Plasma LDL (low density lipoprotein) cholesterol level	722433
259246010	Serum fasting LDL (low density lipoprotein) cholesterol level	12262
259247018	Serum random LDL (low density lipoprotein) cholesterol level	5743
857141000006116	LDL cholesterol level	2861
259236013	Serum VLDL (very low density lipoprotein) cholesterol level	2773
259570010	Plasma fasting LDL (low density lipoprotein) cholesterol level	190
259569014	Plasma random LDL (low density lipoprotein) cholesterol level	140
2854351000006110	LDL	106
4079621000006115	LDL cholesterol	95
