MedCodeId	Term	Count
254020017	Pulse rate	43100586
487210016	Heart rate	2216838
254038019	O/E - pulse rhythm regular	51600
254024014	O/E - pulse rate normal	39167
2635731000006111	Pulse	27702
254030014	O/E - pulse rate	13035
402461017	O/E - pulse rhythm	8516
2189651000000113	Radial pulse rate	5097
254036015	O/E - regular pulse	2861
254026011	O/E - pulse rate tachycardia	2062
254039010	On examination - pulse irregularly irregular	1156
254025010	O/E - pulse borderline fast	1104
254022013	O/E - pulse rate - bradycardia	746
254023015	O/E - pulse borderline slow	608
254028012	O/E - pulse rate-pulse deficit	435
411256010	O/E - post tibial pulse - L	426
411252012	O/E - post-tibial pulse - R	407
1765601000006112	O/E - irregular pulse	347
254040012	O/E -pulse regularly irregular	277
411930014	O/E - irregular pulse	274
254180018	On examination - right posterior tibial pulse present	156
254199010	On examination - left leg pulses all present	151
254206019	On examination - left dorsalis pedis pulse present	150
402469015	O/E - peripheral pulses L.leg	95
402468011	O/E - peripheral pulses R.-leg	91
1699161000006113	Heart rate	77
