MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
457336018,41790671,Serum TSH (thyroid stimulating hormone) level,1022791000000101
457339013,1367342,Plasma TSH (thyroid stimulating hormone) level,1022801000000102
88771000006117,164188,TSH (thyroid stimulating hormone) level,1027151000000105
1494826011,33434,TSH level,1027131000000103
1780303012,402,Blood spot TSH (thyroid stimulating hormone) level,999201000000109
258498018,335,Serum TSH level normal,166336006
3563931000006118,208,TSH,65428006
6030091000006111,110,Serum TSH level,313440008
3563911000006112,103,Thyroid stimulating hormone,65428006
3494061000006119,84,TSH level,61167004
258499014,77,Serum TSH level abnormal,166337002
