MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
150921000006118,37770826,Serum cholesterol level,1005671000000105
2478443019,4705249,Serum total cholesterol level,994351000000103
1484985012,1481513,Plasma total cholesterol level,1017161000000104
186091018,273264,Total cholesterol measurement,121868005
405621000000116,10480,Serum fasting total cholesterol level,1083761000000106
667191000006111,6782,Fasting serum cholesterol,667191000006107
259229012,4602,Serum cholesterol raised,166830008
259252011,1206,Serum cholesterol NOS,1005671000000105
259227014,1066,Serum cholesterol normal,166828006
8292941000006114,866,Total cholesterol level,853681000000104
3877651000006116,385,Cholesterol,84698008
259228016,306,Serum cholesterol borderline,166829003
8290381000006115,290,Cholesterol level,850981000000101
551861000006118,266,Cholesterol screen,1015881000000105
259239018,225,Serum cholesterol studies,1026441000000100
6279041000006119,96,Serum cholesterol level,365794002
