MedCodeId	Term	Count
70401000006114	Urine total protein	630304
84066017	Urine protein	470962
2549739011	Random urine protein level	68282
259803019	Urine protein test negative	14192
259801017	Urine protein test	13233
1231723013	Urine protein level	11283
259804013	Urine protein test = trace	1758
406084015	Urine dipstick for protein	1289
259805014	Urine protein test = +	1086
259806010	Urine protein test = ++	637
259807018	Urine protein test = +++	196
259814016	Urine protein test NOS	76
259808011	Urine protein test = ++++	50
