MedCodeId	Term	Count
98461000006116	Total white cell count	72695168
1485559011	Total white blood count	417786
60301000006114	White cell count	180316
60281000006110	White blood count	174559
1485560018	Total white blood count	1141
11927091000006115	Total white blood count	949
2510531000006114	White blood cell count	607
257377016	Total white cell count NOS	599
2510551000006119	WCC - White blood cell count	165
12625771000006111	White blood cell count in blood	101
257374011	White cell count normal	63
