MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
98461000006116,72695168,Total white cell count,1022541000000102
1485559011,417786,Total white blood count,1022541000000102
60301000006114,180316,White cell count,1022541000000102
60281000006110,174559,White blood count,1022541000000102
1485560018,1141,Total white blood count,1022541000000102
11927091000006115,949,Total white blood count,391558003
2510531000006114,607,White blood cell count,767002
257377016,599,Total white cell count NOS,1022541000000102
2510551000006119,165,WCC - White blood cell count,767002
12625771000006111,101,White blood cell count in blood,1110441000000100
257374011,63,White cell count normal,165507003
