Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Chronic kidney disease stage 3 due to hypertension (disorder),b129171000119106,Chronic kidney disease (CKD) stage 3-5 codes,a8040681000006112,4,Chronic kidney disease stage 3 due to hypertension
Chronic kidney disease stage 3 with proteinuria (disorder),b324251000000105,Chronic kidney disease (CKD) stage 3-5 codes,a595811000000117,30000,Chronic kidney disease stage 3 with proteinuria
Chronic kidney disease stage 3 with proteinuria (disorder),b324251000000105,Chronic kidney disease (CKD) stage 3-5 codes,a618431000000114,10000,CKD stage 3 with proteinuria
Chronic kidney disease stage 3 with proteinuria (disorder),b324251000000105,Chronic kidney disease (CKD) stage 3-5 codes,a8104231000006115,2,CKD (chronic kidney disease) stage 3 with proteinuria
Chronic kidney disease stage 3B without proteinuria (disorder),b324411000000105,Chronic kidney disease (CKD) stage 3-5 codes,a596131000000114,30000,Chronic kidney disease stage 3B without proteinuria
Chronic kidney disease stage 3B without proteinuria (disorder),b324411000000105,Chronic kidney disease (CKD) stage 3-5 codes,a618481000000113,10000,CKD stage 3B without proteinuria
Chronic kidney disease stage 4 with proteinuria (disorder),b324441000000106,Chronic kidney disease (CKD) stage 3-5 codes,a596191000000110,20000,Chronic kidney disease stage 4 with proteinuria
Chronic kidney disease stage 4 with proteinuria (disorder),b324441000000106,Chronic kidney disease (CKD) stage 3-5 codes,a618491000000110,9000,CKD stage 4 with proteinuria
Chronic kidney disease stage 4 with proteinuria (disorder),b324441000000106,Chronic kidney disease (CKD) stage 3-5 codes,a8104451000006111,4,CKD (chronic kidney disease) stage 4 with proteinuria
Chronic kidney disease stage 5 with proteinuria (disorder),b324501000000107,Chronic kidney disease (CKD) stage 3-5 codes,a596321000000110,5000,Chronic kidney disease stage 5 with proteinuria
Chronic kidney disease stage 5 with proteinuria (disorder),b324501000000107,Chronic kidney disease (CKD) stage 3-5 codes,a618511000000119,3000,CKD stage 5 with proteinuria
Chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder),b711000119100,Chronic kidney disease (CKD) stage 3-5 codes,a7966611000006114,2,Chronic kidney disease stage 5 due to type 2 diabetes mellitus
Chronic kidney disease stage 5 with transplant (disorder),b714153000,Chronic kidney disease (CKD) stage 3-5 codes,a7714921000006112,1,Chronic kidney disease stage 5 with transplant
Chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder),b731000119105,Chronic kidney disease (CKD) stage 3-5 codes,a7966691000006116,4,Chronic kidney disease stage 3 due to type 2 diabetes mellitus
Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1 (disorder),b950181000000106,Chronic kidney disease (CKD) stage 3-5 codes,a1940501000006119,2000,CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1
Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2 (disorder),b950211000000107,Chronic kidney disease (CKD) stage 3-5 codes,a1940511000006116,3000,CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2
