MedCodeId,	Term
1839741000006111,	"GAD-7 score - feeling nervous, anxious or on edge"
3265811000006112,	Adjustment disorder with anxious mood
1230451012,	Adjustment reaction with anxious mood
294992011,	Agoraphobia with panic attacks
2549895012,	O/E - panic attack
1488717011,	C/O - panic attack
1808511000006119,	Recurrent panic attacks
6550101000006115,	Complaining of panic attack
339044013,	Panic attack
418031000006113,	[X]Panic attack
2536376012,	Anxiousness
488251000006113,	Anxiousness - symptom
3785111000006110,	Anxious cognitions
516601000000113,	Anxious
363691000006117,	[X]Anxious [avoidant] personality disorder
249869011,	FH: Anxiety state
909691000006113,	[RFC] Anxiety management
294963012,	Anxiety state NOS
294953016,	Anxiety state unspecified
363651000006111,	[X]Anxiety neurosis
363681000006115,	[X]Anxiety state
488211000006112,	Anxiety with depression
488201000006114,	Anxiety states
3287771000006115,	Anxiety reaction
5024071000006118,	Anxiety depression
3287741000006111,	Anxiety
363661000006113,	[X]Anxiety NOS
296249012,	"[X]Anxiety disorder, unspecified"
363641000006114,	[X]Anxiety hysteria
304838011,	Anxiety state
363671000006118,	[X]Anxiety reaction
251630012,	H/O: anxiety state
294961014,	Recurrent anxiety
441512015,	Separation anxiety disorder
481154010,	Generalised anxiety disorder
1976491000006113,	Mixed anxiety and depressive reaction
296224013,	[X]Phobic anxiety disorders
296245018,	[X]Other mixed anxiety disorders
401881014,	[X]Other specified anxiety disorders
223641000000116,	Phobic anxiety
403931000006116,	[X]Organic anxiety disorder
388071000006116,	[X]Generalized anxiety disorder
398561000006117,	[X]Mixed anxiety and depressive disorder
378291000006117,	[X]Dream anxiety disorder
398351000006110,	[X]Mild anxiety depression
296236019,	[X]Other phobic anxiety disorders
419841000006116,	[X]Persistant anxiety depression
3265831000006118,	Adjustment disorder with anxiety
4539991000006111,	History of anxiety state
6358151000006115,	Episodic paroxysmal anxiety disorder
2848311000006117,	GAD - Generalised anxiety disorder
2848301000006115,	GAD - Generalized anxiety disorder
2848291000006116,	Generalized anxiety disorder
2907991000006110,	Social anxiety disorder
296237011,	"[X]Phobic anxiety disorder, unspecified"
296239014,	[X]Panic disorder [episodic paroxysmal anxiety]
294960010,	Chronic anxiety
853241000006119,	Phobic anxiety
296238018,	[X]Other anxiety disorders
2777721000006112,	Organic anxiety disorder
1210253015,	Panic disorder
418061000006116,	[X]Panic state
