Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Microinfarct of heart (disorder),b42531007,Coronary heart disease (CHD) codes,a1229885017,40,Microinfarction of heart
Ischemic congestive cardiomyopathy (disorder),b426856002,Coronary heart disease (CHD) codes,a7065281000006117,8,Ischaemic congestive cardiomyopathy
Mixed myocardial ischemia and infarction (disorder),b428196007,Coronary heart disease (CHD) codes,a7084801000006112,4,Mixed myocardial ischaemia and infarction
Congenital coronary artery sclerosis (disorder),b42866003,Coronary heart disease (CHD) codes,a3191111000006116,1,Congenital coronary artery sclerosis
Recent myocardial infarction (situation),b428752002,Coronary heart disease (CHD) codes,a7093091000006111,2,Recent myocardial infarction
Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty (disorder),b429245005,Coronary heart disease (CHD) codes,a7100421000006116,1,Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty
Arteriosclerosis of coronary artery bypass graft of transplanted heart (disorder),b444855007,Coronary heart disease (CHD) codes,a7298951000006115,2,Arteriosclerosis of coronary artery bypass graft of transplanted heart
Preinfarction syndrome (disorder),b4557003,Coronary heart disease (CHD) codes,a7844010,5000,Preinfarction syndrome
Preinfarction syndrome (disorder),b4557003,Coronary heart disease (CHD) codes,a7845011,90000,Unstable angina
Preinfarction syndrome (disorder),b4557003,Coronary heart disease (CHD) codes,a7847015,8000,Crescendo angina
Preinfarction syndrome (disorder),b4557003,Coronary heart disease (CHD) codes,a299741012,5000,Preinfarction syndrome
Preinfarction syndrome (disorder),b4557003,Coronary heart disease (CHD) codes,a494261017,6000,Worsening angina
Preinfarction syndrome (disorder),b4557003,Coronary heart disease (CHD) codes,a72571000006115,60000,Unstable angina
Preinfarction syndrome (disorder),b4557003,Coronary heart disease (CHD) codes,a2571561000006118,3,Pre-infarction syndrome
Ischemic dilated cardiomyopathy due to coronary artery disease (disorder),b472100003,Coronary heart disease (CHD) codes,a7475751000006117,20,Ischaemic dilated cardiomyopathy due to coronary artery disease
Coronary arteriosclerosis (disorder),b53741008,Coronary heart disease (CHD) codes,a2536395017,200000,Coronary artery disease
Coronary arteriosclerosis (disorder),b53741008,Coronary heart disease (CHD) codes,a3371361000006117,20,Coronary arteriosclerosis
