Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
"Recurrent reactive depressive episodes, severe, with psychosis (disorder)",b1086471000000103,Depression diagnosis codes,a424681000006118,400,"Recurrent reactive depressive episodes, severe, with psychosis"
Recurrent depression with current moderate episode (disorder),b1089641000000100,Depression diagnosis codes,a2730011000000110,30,Recurrent depression with current moderate episode
"Moderate major depression, single episode (disorder)",b15639000,Depression diagnosis codes,a294826016,50000,"Moderate major depression, single episode"
Mild major depressive disorder co-occurrent with anxiety single episode (disorder),b16265951000119109,Depression diagnosis codes,a9901161000006119,20,Mild major depressive disorder co-occurrent with anxiety single episode
Severe major depressive disorder co-occurrent with anxiety single episode (disorder),b16266991000119108,Depression diagnosis codes,a9901281000006116,4,Severe major depressive disorder co-occurrent with anxiety single episode
Moderate recurrent major depression (disorder),b18818009,Depression diagnosis codes,a2798691000006112,20,Moderate recurrent major depression
"Recurrent major depressive episodes, moderate (disorder)",b191611001,Depression diagnosis codes,a294838013,20000,"Recurrent major depressive episodes, moderate"
"Recurrent major depressive episodes, severe, with psychosis (disorder)",b191613003,Depression diagnosis codes,a294840015,10000,"Recurrent major depressive episodes, severe, with psychosis"
"Recurrent major depressive episodes, severe, with psychosis (disorder)",b191613003,Depression diagnosis codes,a424551000006113,1000,[X]Recurr severe episodes/psychogenic depressive psychosis
"Recurrent major depressive episodes, severe, with psychosis (disorder)",b191613003,Depression diagnosis codes,a424671000006116,4000,[X]Recurrent severe episodes of psychotic depression
"Bipolar affective disorder, currently depressed, in full remission (disorder)",b191634005,Depression diagnosis codes,a513861000006113,800,"Bipolar affective disorder, currently depressed, in full remission"
Atypical depressive disorder (disorder),b191659001,Depression diagnosis codes,a294894013,1000,Atypical depressive disorder
Atypical depressive disorder (disorder),b191659001,Depression diagnosis codes,a366561000006119,1000,[X]Atypical depression
Prolonged depressive adjustment reaction (disorder),b192049004,Depression diagnosis codes,a202561000006114,9000,Prolonged depressive adjustment reaction
Post-schizophrenic depression (disorder),b231485007,Depression diagnosis codes,a423041000006119,200,[X]Post-schizophrenic depression
Post-schizophrenic depression (disorder),b231485007,Depression diagnosis codes,a5023901000006110,4,Post-schizophrenic depression
