MedCodeId,	Term
e49049000,	Parkinson's disease
e51100001,	Hypokinetic parkinsonian dysphonia
e154999006,	Parkinson's disease
e155000006,	Parkinson's disease
e192177005,	[X]Dementia in Parkinson's disease
e192825001,	Parkinson's disease
e194470003,	[X]Parkinsonism in diseases classified elsewhere
e230291001,	Juvenile Parkinson's disease
e265377002,	Symptomatic parkinsonism
e425390006,	Dementia associated with Parkinson's Disease
e438513002,	Cerebral degeneration due to Parkinson's disease
e715345007,	Young onset Parkinson disease
e716107009,	Early onset parkinsonism and intellectual disability syndrome
e716662004,	Autosomal dominant late onset Parkinson disease
e718685006,	Orthostatic hypotension co-occurrent and due to Parkinson's disease
e719717006,	Psychosis co-occurrent and due to Parkinson's disease
e720466001,	Adult-onset dystonia parkinsonism
e722964001,	Atypical Parkinsonism
e722965000,	Parkinsonism due to heredodegenerative disorder
e724761004,	Sporadic Parkinson disease
e725146001,	Atypical juvenile parkinsonism
e725392005,	Autosomal dominant striatal neurodegeneration
e788911004,	Dissociative neurological symptom disorder co-occurrent with Parkinsonism
e1156822001,	Autosomal recessive familial Parkinson disease
e1230308005,	Off-periods in Parkinson disease not responding to oral treatment
e1259080009,	Disorder of autonomic nervous system due to Parkinson disease
e101421000119107,	Dementia due to Parkinson's disease
e341551000000108,	Cerebral degeneration in Parkinson's disease
e368771000000107,	Cerebral degeneration in Parkinson's disease
e477771000000108,	[X]Parkinsonism in diseases classified elsewhere
e479161000000109,	[X]Dementia in Parkinson's disease
e15755701000119105,	Fluency disorder due to Parkinson disease
e4223005,		Parkinsonism caused by drug (disorder)
e19972008,	Postencephalitic parkinsonism (disorder)
e49049000,	Parkinson's disease (disorder)
e230291001,	Juvenile Parkinson's disease (disorder)
e230292008,	Secondary parkinsonism (disorder)
e230296006,	Vascular parkinsonism (disorder)
e425390006,		Dementia associated with Parkinson's Disease (disorder)
e101421000119107,		Dementia due to Parkinson's disease (disorder)
