Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Cerebral infarction due to occlusion of cerebral artery (disorder),b1089411000000104,Stroke diagnosis codes,a2729551000000111,10,Cerebral infarction due to occlusion of cerebral artery
Cerebral infarction due to stenosis of cerebral artery (disorder),b1089421000000105,Stroke diagnosis codes,a2729571000000119,10,Cerebral infarction due to stenosis of cerebral artery
Acute cerebrovascular accident due to occlusion of right posterior cerebral artery (disorder),b137592291000119101,Stroke diagnosis codes,a14194281000006115,1,Acute cerebrovascular accident due to occlusion of right posterior cerebral artery
Ischemic stroke without coma (disorder),b140921000119102,Stroke diagnosis codes,a8044481000006118,400,Ischaemic stroke without coma
Anterior choroidal artery syndrome (disorder),b14309005,Stroke diagnosis codes,a2726591000006119,1,Anterior choroidal artery syndrome
Thrombosis of right vertebral artery (disorder),b15978431000119106,Stroke diagnosis codes,a3511086012,2,Thrombosis of right vertebral artery
Cerebrovascular accident due to occlusion of right middle cerebral artery (disorder),b16000431000119109,Stroke diagnosis codes,a3509810017,20,Cerebrovascular accident due to occlusion of right middle cerebral artery
Cerebrovascular accident due to occlusion of left middle cerebral artery (disorder),b16000511000119103,Stroke diagnosis codes,a3509794017,10,Cerebrovascular accident due to occlusion of left middle cerebral artery
Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder),b16002031000119102,Stroke diagnosis codes,a3508961018,10,Cerebrovascular accident due to thrombus of right middle cerebral artery
Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder),b16002031000119102,Stroke diagnosis codes,a3508962013,10,Stroke due to thrombus of right middle cerebral artery
Cerebrovascular accident due to occlusion of bilateral pontine arteries (disorder),b16644681000119102,Stroke diagnosis codes,a14014251000006116,20,Cerebrovascular accident due to occlusion of bilateral pontine arteries
Cerebrovascular accident due to stenosis of bilateral carotid arteries (disorder),b16661971000119104,Stroke diagnosis codes,a13717171000006112,6,Cerebrovascular accident due to stenosis of bilateral carotid arteries
Cryptogenic stroke (disorder),b16891111000119104,Stroke diagnosis codes,a14182621000006113,7,Cryptogenic stroke
History of cerebrovascular accident due to ischemia (situation),b16896891000119106,Stroke diagnosis codes,a13718621000006117,4,History of cerebrovascular accident due to ischaemia
Basal ganglia hemorrhage (disorder),b195165005,Stroke diagnosis codes,a503791000006114,2000,Basal ganglia haemorrhage
Basal ganglia hemorrhage (disorder),b195165005,Stroke diagnosis codes,a4777811000006117,3,Basal ganglia hemorrhage
"Intracerebral hemorrhage, multiple localized (disorder)",b195169004,Stroke diagnosis codes,a746571000006116,100,"Intracerebral haemorrhage, multiple localized"
"Intracerebral hemorrhage, multiple localized (disorder)",b195169004,Stroke diagnosis codes,a4777881000006112,60,"Intracerebral haemorrhage, multiple localised"
Cerebral infarction due to embolism of cerebral arteries (disorder),b195190007,Stroke diagnosis codes,a300322016,1000,Cerebral infarction due to embolism of cerebral arteries
Anterior cerebral artery syndrome (disorder),b195210002,Stroke diagnosis codes,a300363010,2000,Anterior cerebral artery syndrome
Posterior cerebral artery syndrome (disorder),b195211003,Stroke diagnosis codes,a300364016,3000,Posterior cerebral artery syndrome
Cerebellar stroke syndrome (disorder),b195213000,Stroke diagnosis codes,a300366019,7000,Cerebellar stroke syndrome
Left sided cerebral hemisphere cerebrovascular accident (disorder),b195216008,Stroke diagnosis codes,a300370010,60000,Left sided CVA
Left sided cerebral hemisphere cerebrovascular accident (disorder),b195216008,Stroke diagnosis codes,a4778181000006119,4000,Left sided cerebral hemisphere cerebrovascular accident
Right sided cerebral hemisphere cerebrovascular accident (disorder),b195217004,Stroke diagnosis codes,a300371014,60000,Right sided CVA
Right sided cerebral hemisphere cerebrovascular accident (disorder),b195217004,Stroke diagnosis codes,a4778201000006118,3000,Right sided cerebral hemisphere cerebrovascular accident
"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic (disorder)",b195230003,Stroke diagnosis codes,a542251000006112,800,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"
Occlusion of cerebral artery (disorder),b20059004,Stroke diagnosis codes,a300943012,1000,Cerebral artery occlusion
Occlusion of cerebral artery (disorder),b20059004,Stroke diagnosis codes,a1222398015,100000,Cerebral arterial occlusion
Occlusion of cerebral artery (disorder),b20059004,Stroke diagnosis codes,a370701000006118,300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Occlusion of cerebral artery (disorder),b20059004,Stroke diagnosis codes,a543141000006110,4000,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Cerebrovascular accident (disorder),b230690007,Stroke diagnosis codes,a405339016,900000,Cerebrovascular accident
Cerebrovascular accident (disorder),b230690007,Stroke diagnosis codes,a122401000006115,90000,Stroke unspecified
Cerebrovascular accident (disorder),b230690007,Stroke diagnosis codes,a605491000006113,200000,CVA - Cerebrovascular accident
Cerebrovascular accident (disorder),b230690007,Stroke diagnosis codes,a605501000006117,400000,CVA unspecified
Cerebrovascular accident (disorder),b230690007,Stroke diagnosis codes,a5010981000006119,20000,Stroke
Infarction - precerebral (disorder),b230692004,Stroke diagnosis codes,a345639010,80,Infarction - precerebral
Total anterior cerebral circulation infarction (disorder),b230694003,Stroke diagnosis codes,a5011051000006116,200,Total anterior cerebral circulation infarction
Total anterior cerebral circulation infarction (disorder),b230694003,Stroke diagnosis codes,a5011061000006119,3,TACI - Total anterior cerebral circulation infarction
Total anterior cerebral circulation infarction (disorder),b230694003,Stroke diagnosis codes,a5011071000006114,10,Total anterior cerebral circulation stroke
Total anterior cerebral circulation infarction (disorder),b230694003,Stroke diagnosis codes,a5011081000006112,10,TACS - Total anterior cerebral circulation stroke
Partial anterior cerebral circulation infarction (disorder),b230695002,Stroke diagnosis codes,a5011091000006110,400,Partial anterior cerebral circulation infarction
Partial anterior cerebral circulation infarction (disorder),b230695002,Stroke diagnosis codes,a5011101000006116,7,PACI - Partial anterior cerebral circulation infarction
Partial anterior cerebral circulation infarction (disorder),b230695002,Stroke diagnosis codes,a5011111000006118,20,Partial anterior cerebral circulation stroke
Partial anterior cerebral circulation infarction (disorder),b230695002,Stroke diagnosis codes,a5011121000006114,30,PACS - Partial anterior cerebral circulation stroke
Pure motor lacunar infarction (disorder),b230699008,Stroke diagnosis codes,a345655015,2000,Pure motor lacunar syndrome
Pure motor lacunar infarction (disorder),b230699008,Stroke diagnosis codes,a5011191000006111,90,Pure motor lacunar infarction
Pure sensory lacunar infarction (disorder),b230700009,Stroke diagnosis codes,a345658018,600,Pure sensory lacunar syndrome
Pure sensory lacunar infarction (disorder),b230700009,Stroke diagnosis codes,a5011211000006112,30,Pure sensory lacunar infarction
Pure sensorimotor lacunar infarction (disorder),b230701008,Stroke diagnosis codes,a5011231000006118,3,Pure sensorimotor lacunar infarction
Lacunar ataxic hemiparesis (disorder),b230702001,Stroke diagnosis codes,a5011241000006111,8,Lacunar ataxic hemiparesis
Hemorrhagic cerebral infarction (disorder),b230706003,Stroke diagnosis codes,a5011291000006119,80,Haemorrhagic cerebral infarction
Anterior cerebral circulation hemorrhagic infarction (disorder),b230707007,Stroke diagnosis codes,a5011331000006114,1,Anterior cerebral circulation haemorrhagic infarction
Posterior cerebral circulation hemorrhagic infarction (disorder),b230708002,Stroke diagnosis codes,a5011351000006119,6,Posterior cerebral circulation haemorrhagic infarction
Stroke of uncertain pathology (disorder),b230713003,Stroke diagnosis codes,a5011451000006114,20,Stroke of uncertain pathology
Anterior circulation stroke of uncertain pathology (disorder),b230714009,Stroke diagnosis codes,a5011461000006111,70,Anterior circulation stroke of uncertain pathology
Completed stroke (disorder),b25133001,Stroke diagnosis codes,a2901571000006113,20,Completed stroke
Acute cerebrovascular accident due to occlusion of right middle cerebral artery (disorder),b272202251000119109,Stroke diagnosis codes,a14194331000006112,1,Acute cerebrovascular accident due to occlusion of right middle cerebral artery
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a300287010,4000,Intracerebral haemorrhage NOS
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a300939013,1000,Cerebral haemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a300956017,400,"[X]Intracerebral haemorrhage in hemisphere, unspecified"
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a122371000006118,20000,Cerebral haemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a605471000006112,40000,Cerebral hemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a744901000006114,70000,Intracerebral haemorrhage (ICH)
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a744921000006116,400,"Intracerebral haemorrhage in hemisphere, unspecified"
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a748941000006115,1000,"Left sided intracerebral haemorrhage, unspecified"
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a884421000006119,1000,Cerebral haemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a989201000006117,1,Cerebral haemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a989211000006119,1,Cerebral haemorrhage NOS
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a12223101000006118,300,Intracerebral haemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a12223111000006115,6,Intracerebral hemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a12223121000006111,40,ICH - intracerebral haemorrhage
Cerebral hemorrhage (disorder),b274100004,Stroke diagnosis codes,a12223131000006114,1,ICH - intracerebral hemorrhage
Intracerebellar and posterior fossa hemorrhage (disorder),b276722003,Stroke diagnosis codes,a5589641000006112,20,Intracerebellar and posterior fossa haemorrhage
Spontaneous hemorrhage of cerebral hemisphere (disorder),b291531000119108,Stroke diagnosis codes,a3507370011,5,Spontaneous haemorrhage of cerebral hemisphere
Lacunar ataxic hemiparesis of right dominant side (disorder),b292851000119109,Stroke diagnosis codes,a3510961010,2,Lacunar ataxic hemiparesis of right dominant side
Left sided cerebral infarction (disorder),b307766002,Stroke diagnosis codes,a451133011,30000,Left sided cerebral infarction
Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus (disorder),b329361000119107,Stroke diagnosis codes,a3636133016,1,Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus
Occlusion of right middle cerebral artery (disorder),b329481000119106,Stroke diagnosis codes,a3505639012,10,Occlusion of right middle cerebral artery
Occlusion of left middle cerebral artery (disorder),b329491000119109,Stroke diagnosis codes,a3505637014,20,Occlusion of left middle cerebral artery
Cerebrovascular accident due to thrombus of basilar artery (disorder),b329641000119104,Stroke diagnosis codes,a3508955016,7,Cerebrovascular accident due to thrombus of basilar artery
Cerebrovascular accident due to thrombus of basilar artery (disorder),b329641000119104,Stroke diagnosis codes,a3508956015,3,Stroke due to basilar artery thrombus
Cerebrovascular accident due to thrombus of right carotid artery (disorder),b329651000119102,Stroke diagnosis codes,a3508958019,2,Cerebrovascular accident due to thrombus of right carotid artery
Embolic stroke (disorder),b371041009,Stroke diagnosis codes,a6348301000006119,100,Embolic stroke
Acute cerebrovascular accident due to occlusion of left posterior cerebral artery (disorder),b40076141000119107,Stroke diagnosis codes,a14194161000006118,1,Acute stroke due to occlusion of left posterior cerebral artery
