Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Arthropathy due to type 2 diabetes mellitus (disorder),b314903002,Codes for diabetes type 2,a459309011,8,Non-insulin dependent diabetes mellitus with arthropathy
Arthropathy due to type 2 diabetes mellitus (disorder),b314903002,Codes for diabetes type 2,a459310018,200,Type 2 diabetes mellitus with arthropathy
Arthropathy due to type 2 diabetes mellitus (disorder),b314903002,Codes for diabetes type 2,a459311019,30,Type II diabetes mellitus with arthropathy
Arthropathy due to type 2 diabetes mellitus (disorder),b314903002,Codes for diabetes type 2,a84491000006118,10,Type 2 diabetes mellitus with arthropathy
Arthropathy due to type 2 diabetes mellitus (disorder),b314903002,Codes for diabetes type 2,a84861000006112,2,Type II diabetes mellitus with arthropathy
Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),b395204000,Codes for diabetes type 2,a1488898011,1000,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),b395204000,Codes for diabetes type 2,a850691000006118,400,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),b395204000,Codes for diabetes type 2,a1667891000000113,70,Hyperosmolar non-ketotic state in type II diabetes mellitus
Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),b395204000,Codes for diabetes type 2,a14079871000006119,3,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus
Ketoacidosis due to type 2 diabetes mellitus (disorder),b421750000,Codes for diabetes type 2,a616531000006116,700,"Diabetes mellitus, adult onset, with ketoacidosis"
Ketoacidosis due to type 2 diabetes mellitus (disorder),b421750000,Codes for diabetes type 2,a928581000006111,2000,Ketoacidosis in type 2 diabetes mellitus
Ketoacidosis due to type 2 diabetes mellitus (disorder),b421750000,Codes for diabetes type 2,a928591000006114,70,Type II diabetes mellitus with ketoacidosis
Ketoacidosis due to type 2 diabetes mellitus (disorder),b421750000,Codes for diabetes type 2,a6977421000006110,2,Ketoacidosis in type II diabetes mellitus
Ketoacidosis due to type 2 diabetes mellitus (disorder),b421750000,Codes for diabetes type 2,a14083991000006115,3,Ketoacidosis due to type 2 diabetes mellitus
Type II diabetes mellitus uncontrolled (finding),b443694000,Codes for diabetes type 2,a292589019,200,Type II diabetes mellitus - poor control
Type II diabetes mellitus uncontrolled (finding),b443694000,Codes for diabetes type 2,a292590011,10000,Type II diabetes mellitus poorly controlled
Type II diabetes mellitus uncontrolled (finding),b443694000,Codes for diabetes type 2,a84481000006116,1000,Type 2 diabetes mellitus - poor control
Type II diabetes mellitus uncontrolled (finding),b443694000,Codes for diabetes type 2,a84851000006110,600,Type II diabetes mellitus - poor control
Type II diabetes mellitus uncontrolled (finding),b443694000,Codes for diabetes type 2,a281171000006119,8000,Type II diabetes mellitus uncontrolled
Type II diabetes mellitus uncontrolled (finding),b443694000,Codes for diabetes type 2,a7281511000006118,3,Type 2 diabetes mellitus uncontrolled
Brittle type II diabetes mellitus (finding),b445353002,Codes for diabetes type 2,a7306751000006110,2,Brittle type 2 diabetes mellitus
Diabetes mellitus in remission (disorder),b703136005,Codes for diabetes type 2,a2287971000000119,20000,Diabetes mellitus in remission
Neuropathic ulcer of toe due to type 2 diabetes mellitus (disorder),b140381000119104,Codes for diabetes type 2,a8044171000006110,2,Neuropathic toe ulcer due to type 2 diabetes mellitus
Diabetes mellitus type 2 without retinopathy (disorder),b1481000119100,Codes for diabetes type 2,a7968751000006116,2,Diabetes mellitus type 2 without retinopathy
Multiple complications due to type 2 diabetes mellitus (disorder),b190388001,Codes for diabetes type 2,a292576013,30,Type II diabetes mellitus with multiple complications
Multiple complications due to type 2 diabetes mellitus (disorder),b190388001,Codes for diabetes type 2,a292577016,2000,Type 2 diabetes mellitus with multiple complications
Multiple complications due to type 2 diabetes mellitus (disorder),b190388001,Codes for diabetes type 2,a84541000006111,200,Type 2 diabetes mellitus with multiple complications
Multiple complications due to type 2 diabetes mellitus (disorder),b190388001,Codes for diabetes type 2,a84911000006119,3,Type II diabetes mellitus with multiple complications
Multiple complications due to type 2 diabetes mellitus (disorder),b190388001,Codes for diabetes type 2,a280581000006118,300,Non-insulin-dependent diabetes mellitus with multiple complications
