MedCodeId	Observations	Term	SnomedCTConceptId
103844015	6000	Acquired immune deficiency syndrome	62479008
825831000006113	800	Pneumocystosis associated with AIDS	420403001
908851000006113	300	[RFC] AIDS/HIV	908851000006109
825771000006119	200	Kaposi's sarcoma associated with AIDS	420524008
906841000006112	90	[RFC] HIV/AIDS	906841000006108
287023017	80	Mycobacteriosis associated with AIDS	420818005
264418012	80	Notification of AIDS	170530008
3515761000006110	60	AIDS	62479008
474391000006110	10	AIDS - First Presentation	474391000006106
474401000006112	6	AIDS - Subsequent Presentation	474401000006108
6973461000006110	1	Acquired immune deficiency syndrome dementia complex	421529006
6973421000006116	1	Dementia associated with AIDS	421529006
925451000006113	1	AIDS carrier	925451000006109
