MedCodeId	Observations	Term	SnomedCTConceptId
2204191000000110	200000	Acute kidney injury	14669001
2405141000000117	100000	Provision of written information about acute kidney injury	939531000000109
2206791000000119	60000	Acute kidney injury stage 1	851931000000107
2206811000000118	20000	Acute kidney injury stage 2	851941000000103
2206831000000114	20000	Acute kidney injury stage 3	851951000000100
1985201000006119	1000	History of acute kidney injury	137971000119104
8043971000006111	20	Acute nontraumatic kidney injury	140031000119103
8043981000006114	10	Nontraumatic AKI (acute kidney injury)	140031000119103
2732281000006119	10	AKI - acute kidney injury	14669001
13485211000006111	10	Acute kidney injury due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)	870589006
