MedCodeId	Observations	Term	SnomedCTConceptId
342443012	8000	Smokes drugs	228377000
882481000006112	1000	Cannibis/hallucinogen dep.	191816009
342444018	1000	Smokes drugs in cigarette form	228378005
355251000006119	300	[X] Adverse reaction to marijuana	218791008
342445017	100	Smokes drugs through a pipe	228379002
7958201000006115	7	Marijuana user	733460004
2741481000006114	6	Poisoning by marijuana	15233006
4910521000006114	5	Adverse reaction to marijuana	218791008
2660731000006113	2	Marijuana	10083006
988921000006114	2	Cannibis/hallucinogen dep.	191816009
