MedCodeId	Observations	Term
50693015	100000	Ventricular septal defect
400800019	60000	Atrial septal defect
313317014	30000	Patent foramen ovale
120221015	30000	Bicuspid aortic valve
13062015	20000	Coarctation of aorta
143123019	20000	Tetralogy of Fallot
580501000006119	10000	Congenital stenosis of aortic valve
584801000006111	9000	PV - Congenital pulmonary valve stenosis
582721000006116	8000	Congenital heart anomaly NOS
22613011	8000	Congenital heart disease
40351000006119	7000	Secundum atrial septal defect
313344016	6000	Other congenital heart anomalies
103185010	5000	Hypoplastic left heart syndrome
126311000006111	5000	Pulmonary artery stenosis
46258015	5000	Dextrocardia
313273015	4000	Transposition of great vessels
1232445010	4000	William syndrome
313448017	3000	Congenital heart anomaly NOS
313336016	3000	Common atrioventricular-type ventricular septal defect
313369016	3000	Ebstein's anomaly of tricuspid valve
313302010	3000	Ventricular septal defect NOS
137888010	2000	Eisenmenger's complex
313386010	2000	Pulmonary infundibular stenosis
400805012	2000	Cyanotic congenital heart disease
313296015	2000	Ventricular septal defect, unspecified
313356015	2000	Congenital stenosis of pulmonary valve
313382012	2000	Subaortic stenosis
313351013	2000	Congenital atresia of the pulmonary valve
377305014	2000	Other specified atrial septal defect
313343010	1000	Heart bulb or septal closure defects NOS
313327015	1000	Ostium secundum atrial septal defect NOS
313301015	1000	Other specified ventricular septal defect
588751000006110	1000	Tricuspid atresia
483917014	1000	Coronary artery anomaly
313454016	1000	Coarctation of aorta NOS
313492015	1000	Pulmonary artery atresia
313505013	1000	Atresia of pulmonary artery with septal defect
400798014	900	Discordant ventriculoarterial connection
13341010	900	Double outlet right ventricle
316833010	900	Congenital cardiac failure
1235125018	800	Fallot's tetralogy
400806013	800	Other anomalies of aorta
313458018	800	Congenital anomaly of aorta
377267018	800	Isomerism of atrial appendages
596141000006112	700	Congenitally corrected transposition of great arteries
11131000006110	700	Other specified heart anomalies
1908831000006118	700	Left ventricular outflow tract obstruction
116861000006111	600	Supravalvar aortic stenosis
31287015	600	Congenital aortic stenosis
313450013	600	Congenital hypoplasia of aortic arch
827091000006113	600	Holt - Oram syndrome
313294017	600	Tetralogy of Fallot NOS
452187019	600	Truncus arteriosus
75422012	600	Congenital dilatation of aorta
66470013	500	Scimitar syndrome
96991000006117	500	Total anomalous pulmonary venous connection
313439010	500	Congenital anomaly of heart valve
377499014	500	Ventricular septal defect in Fallot's tetralogy
18184019	500	Double aortic arch
193971000006119	400	Pulmonary valve anomalies
400796013	400	Bulbus cordis and cardiac septal closure anomalies
377172018	400	Congenital heart disease, septal and bulbar anomalies
50694014	400	Interventricular septal defect
581341000006116	400	Congenital coronary arterio-venous fistula
400802010	400	Right hypoplastic heart syndrome
892941000006112	400	Bicuspid aortic valve - congen
377524013	400	Right ventricular outflow tract obstruction
400801015	400	Other specified ostium secundum atrial septal defect
193441000006115	400	Pulmonary artery anomalies
361057012	300	Persistent right aortic arch
313398017	300	Coronary artery anomaly NOS
400799018	300	Tetralogy of Fallot, unspecified
92274014	300	Cor triatriatum
482711000006116	300	Aneurysm of sinus of Valsalva
37921000006114	300	Other anomaly of aorta NOS
377639017	300	Anomalies of the aorta excluding coarction
113349011	300	PAPVR - Partial anomalous pulmonary venous return
313353011	300	Congenital atresia of pulmonary valve
2478440016	300	Ohdo blepharophimosis syndrome
850841000006111	300	Truncus arteriosus
313472010	300	Aortic arch anomalies NOS
313322014	300	Persistent ostium secundum
29949011	300	Ostium primum defect
788771000006118	300	Hypoplasia of the pulmonary artery
75863013	200	Common ventricle
133392011	200	Roger's disease
126391000006118	200	Stenosis of superior vena cava
136773016	200	Congenital mitral stenosis
129848018	200	Ectopic heart
313486014	200	Other anomalies of aorta NOS
787901000006111	200	Hypoplastic aortic orifice or valve
80189019	200	Congenital cardiomegaly
2478795011	200	Vascular ring
315688018	200	Congenital anomaly of pulmonary artery
497741000006115	200	Atresia of pulmonary vein
510302016	200	Stenosis of aortic arch
313444015	200	Acyanotic congenital heart disease NOS
377307018	200	Interatrial septal defect NEC
315686019	200	[X]Other specified congenital malformations of the heart
583661000006114	200	Congenital malformation of great arteries, unspecified
400807016	200	Hypoplasia of aorta
313506014	200	Other specified anomaly of pulmonary artery
313277019	200	Total great vessel transposition
28030016	200	Mesocardia
313425010	200	Atresia of heart valve NEC
405146019	200	Anomalous coronary artery communication
313515019	200	Total anomalous pulmonary venous return
580471000006114	200	Congenital insufficiency of aortic valve
221871000000110	200	Interrupted aortic arch
313349014	200	Pulmonary valve anomaly, unspecified
315681012	200	Congenital pulmonary valve abnormality
313365010	200	Congenital tricuspid atresia and stenosis
120034011	100	Postductal coarctation of aorta
892921000006117	100	Congenital pulmonary atresia
65931000006114	100	Vascular ring of aorta
641961000006119	100	Endocardial cushion defect
313352018	100	Hypoplasia of pulmonary valve
377171013	100	Hypoplasia of heart NOS
3610141000006114	100	Partial anomalous pulmonary venous connection
313511011	100	Anomaly of the vena cava, unspecified
478039018	100	Aortopulmonary window
313362013	100	Fallot's trilogy
4824461000006111	100	ASD2 - Secundum atrial septal defect
315687011	100	[X]Other congenital malformations of aorta
313510012	100	Anomaly of the pulmonary veins, unspecified
400797016	100	Other specified transposition of great vessels
13148012	100	Double outlet left ventricle
892881000006113	100	Septal defect NOS
748971000006111	100	Left ventricle to right atrial communication
13343013	100	Taussig-Bing syndrome
313485013	100	Atresia or stenosis of aorta NOS
313507017	100	Pulmonary artery anomaly NOS
36882018	100	Single coronary artery
36036010	100	Syncope anginosa
377308011	100	Auricular septal defect NOS
315698012	90	Congenital anomaly of tricuspid valve
3807431000006116	90	Small ventricular septal defect
313381017	90	Other specified heart anomalies
313360017	90	Other pulmonary valve anomalies
2478825010	90	Atresia of aorta
745331000006115	90	Levocardia
377219011	80	Transposition of aorta
571261000006119	80	Coarctation of pulmonary artery
313508010	80	Anomalies of great veins
126241000006115	80	Stenosis of inferior vena cava
129847011	80	Ectopia cordis
2475972010	80	Common atrium
313368012	80	Congenital tricuspid atresia or stenosis NOS
583621000006115	80	Congenital malformation of aortic and mitral valves unsp
313491010	70	Pulmonary artery anomaly, unspecified
637121000000110	70	Congenital dextroposition of heart
28815012	70	Aortic septal defect
313364014	70	Other pulmonary valve anomaly NOS
313473017	70	Atresia and stenosis of aorta
229851000006112	70	Persistent truncus arteriosus
4164071000006111	60	Perimembranous ventricular septal defect
313524011	60	Absence of inferior vena cava
