MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
50693015,100000,Ventricular septal defect,30288003
400800019,60000,Atrial septal defect,70142008
313317014,30000,Patent foramen ovale,204317008
120221015,30000,Bicuspid aortic valve,72352009
13062015,20000,Coarctation of aorta,7305005
143123019,20000,Tetralogy of Fallot,86299006
580501000006119,10000,Congenital stenosis of aortic valve,18546004
584801000006111,9000,PV - Congenital pulmonary valve stenosis,67278007
582721000006116,8000,Congenital heart anomaly NOS,13213009
22613011,8000,Congenital heart disease,13213009
40351000006119,7000,Secundum atrial septal defect,204315000
313344016,6000,Other congenital heart anomalies,13213009
103185010,5000,Hypoplastic left heart syndrome,62067003
126311000006111,5000,Pulmonary artery stenosis,95441000
46258015,5000,Dextrocardia,27637000
313273015,4000,Transposition of great vessels,204296002
1232445010,4000,William syndrome,63247009
313448017,3000,Congenital heart anomaly NOS,13213009
313336016,3000,Common atrioventricular-type ventricular septal defect,204330009
313369016,3000,Ebstein's anomaly of tricuspid valve,204357006
313302010,3000,Ventricular septal defect NOS,30288003
137888010,2000,Eisenmenger's complex,204311009
313386010,2000,Pulmonary infundibular stenosis,204370002
400805012,2000,Cyanotic congenital heart disease,12770006
313296015,2000,"Ventricular septal defect, unspecified",30288003
313356015,2000,Congenital stenosis of pulmonary valve,67278007
313382012,2000,Subaortic stenosis,204368006
313351013,2000,Congenital atresia of the pulmonary valve,204342004
377305014,2000,Other specified atrial septal defect,70142008
313343010,1000,Heart bulb or septal closure defects NOS,268174004
313327015,1000,Ostium secundum atrial septal defect NOS,204318003
313301015,1000,Other specified ventricular septal defect,30288003
588751000006110,1000,Tricuspid atresia,63042009
483917014,1000,Coronary artery anomaly,28574005
313454016,1000,Coarctation of aorta NOS,7305005
313492015,1000,Pulmonary artery atresia,204443008
313505013,1000,Atresia of pulmonary artery with septal defect,204448004
400798014,900,Discordant ventriculoarterial connection,204296002
13341010,900,Double outlet right ventricle,7484005
316833010,900,Congenital cardiac failure,206586007
1235125018,800,Fallot's tetralogy,86299006
400806013,800,Other anomalies of aorta,59877000
