MedCodeId	Observations	Term	SnomedCTConceptId
397878014	2000000	Tiredness symptom	267031002
102731000006113	2000000	Tired all the time	267032009
397879018	1000000	Tired all the time	267032009
667321000006111	600000	Fatigue	84229001
1008801000006119	400000	PHQ9 score - feels tired	1008801000006103
317069013	400000	[D]Tiredness	267031002
407107015	300000	C/O - 'tired all the time'	272062008
730581000006116	300000	Malaise and fatigue	271795006
87704019	300000	Chronic fatigue syndrome	52702003
407105011	200000	Fatigue - symptom	272060000
496414017	80000	CFS - Chronic fatigue syndrome	52702003
252288017	70000	Tiredness symptom NOS	267031002
317065019	70000	[D]Fatigue	84229001
317063014	30000	[D]Malaise and fatigue	271795006
1162261000000119	30000	Referral to chronic fatigue syndrome specialist team	520511000000101
496412018	30000	Postviral fatigue syndrome	51771007
317071013	20000	[D]Malaise and fatigue NOS	271795006
4934561000006115	10000	Tired	224960004
217451000006111	10000	Post-viral fatigue syndrome	51771007
386731000006116	5000	[X]Fatigue syndrome	84229001
195091000006116	3000	PVFS - Postviral fatigue syn	51771007
1167821000000111	1000	Referral for chronic fatigue syndrome activity management	522991000000100
742341000000111	1000	Mild chronic fatigue syndrome	377181000000104
742321000000116	800	Moderate chronic fatigue syndrome	377171000000101
6042691000006116	700	Feeling tired	314109004
732301000000114	500	Activity management for chronic fatigue syndrome	372601000000101
742301000000113	400	Severe chronic fatigue syndrome	377161000000108
959231000006115	200	Somatic complaints/fatigue	959231000006104
1963061000006113	100	Reasn fr referrl:Chronic Fatigue Syndrome/Myalgic Encephalopathy	1963061000006109
