MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
217721000000117,1000000,Insomnia,193462001
407067015,600000,Complaining of insomnia,272025006
317035012,500000,[D]Insomnia NOS,193462001
345377013,500000,Insomnia NOS,193462001
1222474014,70000,[D]Insomnia - symptom,193462001
401805019,60000,Transient insomnia,268652009
295412011,50000,Persistent insomnia,191997003
98133013,30000,Initial insomnia,59050008
111701012,20000,Middle insomnia,67233009
252935019,9000,Late insomnia,162204000
400121000006111,4000,Nonorganic insomnia,192454004
960621000006117,3000,Insomnia,960621000006101
11639631000006119,2000,Recommendation to use digital cognitive behavioural therapy for insomnia,11639631000006103
772561000006111,1000,Insomnia due to nonorganic sleep disorder,192454004
317034011,1000,Insomnia with sleep apnoea,41975002
602651000000115,200,ISI (Insomnia Severity Index) score,762989006
1806231000006114,100,Primary insomnia,3972004
12621591000006119,80,Referral for digital cognitive behavioural therapy for insomnia,1107191000000102
3590261000006112,30,Terminal insomnia,67062000
7860671000006111,10,Chronic insomnia,724748004
11998341000006118,2,Insomnia Severity Index score,762989006
7050121000006112,1,Psychophysiologic insomnia,
3176551000006111,1,Insomnia with sleep apnea,41975002
2562371000006117,1,Idiopathic insomnia,3972004
