MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
2548475019,300000,On learning disability register,416075005
628281000006114,60000,Down's syndrome,41040004
1129811000000119,60000,Moderate learning disability,984671000000103
1129781000000117,50000,Severe learning disability,508171000000105
1550041000000110,50000,Mild learning disability,984661000000105
151009017,40000,Mental retardation,110359009
378493013,20000,Down's syndrome NOS,41040004
146051000006113,9000,"Severe mental retardation, IQ in range 20-34",40700009
398811000006118,8000,Moderate intellectual disability,61152003
700071000006118,8000,"Moderate mental retardation, IQ in range 35-49",61152003
426591000006111,8000,Severe intellectual disability,40700009
507246016,8000,"Mild mental retardation, IQ in range 50-70",86765009
222101000000116,6000,Sjogren-Larsson's syndrome,111303009
424971000006111,5000,Rett syndrome,68618008
3161031000006112,5000,Complete trisomy 21 syndrome,41040004
345782015,5000,Dysequilibrium syndrome,230782004
1232445010,4000,William syndrome,63247009
398381000006119,4000,[X]Mild mental retardation,86765009
1550051000000113,4000,Profound learning disability,984681000000101
212911000006116,3000,Prader-Willi syndrome,89392001
295664013,3000,Intellectual disability,110359009
222121000000113,2000,Trisomy 21,41040004
295662012,2000,Other specified mental retardation NOS,110359009
127638013,2000,Angelman syndrome,76880004
345281011,2000,Lennox-Gastaut syndrome,230418006
893481000006117,2000,Down's syndrome,41040004
9881000006115,1000,Other specified mental retardation,110359009
158401000006118,1000,Rubenstein - Tayi syndrome,45582004
212921000006112,1000,Prader-Willi Syndrome,89392001
63896011,1000,Cornelia de Lange syndrome,40354009
4193701000006119,1000,Sjögren-Larsson syndrome,111303009
398231000006111,1000,[X]Mental retardation,110359009
398251000006116,1000,[X]Mental subnormality NOS,110359009
600811000006111,1000,Cri du chat syndrome,70173007
133918015,1000,Marinesco-Sjogren syndrome,80734006
1231577014,1000,Biedl-Bardet syndrome,5619004
1780502018,900,Smith-Magenis syndrome,401315004
882791000006118,800,Severe mental retardation,40700009
423501000006112,700,Profound intellectual disability,31216003
127639017,700,Happy puppet syndrome,76880004
10374011,600,Laurence-Moon-Biedl syndrome,5619004
636711000006113,600,Edward's syndrome - trisomy 18,51500006
377070012,600,Joubert syndrome,716997004
137341000006114,600,Smith - Lemli - Opitz syndrome,43929004
239991000006111,500,Patau syndrome,21111006
1494665012,500,Pallister-Killian syndrome,9527009
13784441000006119,500,Learning disability,110359009
398391000006116,500,Mild intellectual disability,86765009
426611000006117,500,[X]Severe mental subnormality,40700009
882771000006119,500,Mild mental retardation,86765009
1234038018,500,Angelman's syndrome,76880004
345138018,400,Aicardi Goutieres syndrome,230312006
88371000006116,400,Trisomy 21- mitotic nondisjunction mosaicism,205616004
1705901000006118,400,Angelman syndrome,76880004
8337561000006119,400,Significant learning disability,931001000000105
315463017,400,"Klinefelter's syndrome, XXYY",205699007
398411000006116,400,[X]Mild mental subnormality,86765009
398821000006114,300,[X]Moderate mental subnormality,61152003
146555015,300,Sanfilippo syndrome,88393000
378496017,300,Edward's syndrome NOS,51500006
882781000006116,300,Moderate mental retardation,61152003
2478440016,300,Ohdo blepharophimosis syndrome,412787009
76004014,300,Rubinstein-Taybi syndrome,45582004
401902015,300,[X]Unspecified mental retardation,110359009
201751000006110,300,Profound mental retardation with IQ less than 20,31216003
63898012,200,Amsterdam dwarf,40354009
222141000000118,200,"Klinefelter's syndrome, XXXXY",275264009
296574014,200,"[X]Severe mental retardation, other impairments of behaviour",40700009
296557014,200,"[X]Mild mental retardation, other impairments of behaviour",86765009
295661017,200,Other specified mental retardation,110359009
600251000000118,200,Jacobsen syndrome,715438008
68472012,200,Mongolism,41040004
1234503010,200,Aicardi syndrome,80651009
1782780019,200,Cardio-facio-cutaneous syndrome,403770008
398651000006118,200,[X]Mld mental retard sig impairment behav req attent/treatmt,86765009
