MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
249291000006117,2000000,Palpitations,80313002
317328012,200000,[D]Palpitations,80313002
133268018,200000,Palpitations,80313002
252443016,60000,Palpitations NOS,80313002
317330014,30000,[D]Palpitations NOS,80313002
2333711000000119,200,Palpitations care pathway,907751000000109
4545611000006111,40,Palpitations - fluttering,161969004
5260231000006119,30,Palpitations - rapid,248648003
4545591000006117,10,Palpitations - bumping,161968007
4077411000006118,7,Intermittent palpitations,102590007
1984261000006117,7,Manchester triage - Palpitations,1984261000006101
8075371000006112,3,Regular palpitations,240231000000100
7095591000006118,1,Palpitations with regular rhythm,428919002
8075341000006116,1,Irregular palpitations,240221000000102
