Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Dementia due to Parkinson's disease (disorder),b101421000119107,Codes for dementia,a8031751000006119,20,Dementia due to Parkinson's disease
Dementia due to Parkinson's disease (disorder),b101421000119107,Codes for dementia,a8031761000006117,1,Dementia due to Parkinsons disease
Early onset Alzheimer's disease with behavioral disturbance (disorder),b105421000119105,Codes for dementia,a8032911000006111,5,Early onset Alzheimer's disease with behavioural disturbance
Early onset Alzheimer's disease with behavioral disturbance (disorder),b105421000119105,Codes for dementia,a8032931000006117,1,Early onset Alzheimers disease with behavioral disturbance
Kohlschutter's syndrome (disorder),b109478007,Codes for dementia,a4164891000006115,1,Kohlschutter's syndrome
Lewy body dementia with behavioral disturbance (disorder),b135811000119107,Codes for dementia,a8042791000006116,100,Lewy body dementia with behavioural disturbance
Lewy body dementia with behavioral disturbance (disorder),b135811000119107,Codes for dementia,a8042801000006115,1,Lewy body dementia with behavioral disturbance
Depressed mood in Alzheimer's disease (disorder),b142001000119106,Codes for dementia,a8044941000006117,10,Depressed mood in Alzheimer's disease
Senile dementia (disorder),b15662003,Codes for dementia,a26545010,300000,Senile dementia
Senile dementia (disorder),b15662003,Codes for dementia,a359141000006111,30000,[X] Senile dementia NOS
Dementia of the Alzheimer type with behavioral disturbance (disorder),b1581000119101,Codes for dementia,a7969281000006110,40,Dementia of the Alzheimer type with behavioural disturbance
Dementia with behavioral disturbance (disorder),b1591000119103,Codes for dementia,a7969371000006115,20,Dementia with behavioural disturbance
Uncomplicated senile dementia (disorder),b191449005,Codes for dementia,a294635013,90000,Uncomplicated senile dementia
Uncomplicated senile dementia (disorder),b191449005,Codes for dementia,a882201000006116,5000,Senile dementia - simple type
Presenile dementia with paranoia (disorder),b191454001,Codes for dementia,a294641018,400,Presenile dementia with paranoia
Presenile dementia with depression (disorder),b191455000,Codes for dementia,a294642013,900,Presenile dementia with depression
Senile dementia with paranoia (disorder),b191458003,Codes for dementia,a294645010,3000,Senile dementia with paranoia
Senile dementia with depression (disorder),b191459006,Codes for dementia,a294646011,4000,Senile dementia with depression
Senile dementia with delirium (disorder),b191461002,Codes for dementia,a294648012,3000,Senile dementia with delirium
Senile dementia with delirium (disorder),b191461002,Codes for dementia,a882211000006118,500,Senile dementia-acute confused
Senile dementia with delirium (disorder),b191461002,Codes for dementia,a4763081000006118,1,Senile delirium
Uncomplicated arteriosclerotic dementia (disorder),b191463004,Codes for dementia,a294652012,900,Uncomplicated arteriosclerotic dementia
Arteriosclerotic dementia with delirium (disorder),b191464005,Codes for dementia,a294653019,80,Arteriosclerotic dementia with delirium
Arteriosclerotic dementia with paranoia (disorder),b191465006,Codes for dementia,a294654013,400,Arteriosclerotic dementia with paranoia
Arteriosclerotic dementia with depression (disorder),b191466007,Codes for dementia,a294655014,400,Arteriosclerotic dementia with depression
Cerebral degeneration due to Creutzfeldt-Jakob disease (disorder),b192818008,Codes for dementia,a542651000006110,500,Cerebral degeneration due to Jakob - Creutzfeldt disease
Cerebral degeneration due to Creutzfeldt-Jakob disease (disorder),b192818008,Codes for dementia,a4768981000006114,2,Cerebral degeneration due to Creutzfeldt-Jakob disease
Prion disease (disorder),b20484008,Codes for dementia,a2825541000006118,7,Prion disease
Dementia co-occurrent and due to Pick's disease (disorder),b21921000119103,Codes for dementia,a295685013,4000,Dementia due to Pick's disease
Dementia co-occurrent and due to Pick's disease (disorder),b21921000119103,Codes for dementia,a8009521000006114,3,Dementia due to Picks disease
Dementia co-occurrent and due to Pick's disease (disorder),b21921000119103,Codes for dementia,a8009531000006112,1,Dementia due to Pick disease
Primary degenerative dementia (disorder),b22381000119105,Codes for dementia,a8010111000006117,4,Primary degenerative dementia
Familial Alzheimer's disease of early onset (disorder),b230265002,Codes for dementia,a5005501000006111,2,Familial Alzheimer's disease of early onset
Familial Alzheimer's disease of late onset (disorder),b230267005,Codes for dementia,a5005541000006113,1,Familial Alzheimer's disease of late onset
Non-familial Alzheimer's disease of late onset (disorder),b230268000,Codes for dementia,a5005561000006112,3,Non-familial Alzheimer's disease of late onset
Frontotemporal dementia (disorder),b230270009,Codes for dementia,a5005601000006112,500,Frontotemporal dementia
Post-traumatic dementia (disorder),b230282000,Codes for dementia,a5005741000006115,10,Traumatic encephalopathy
Mixed cortical and subcortical vascular dementia (disorder),b230287006,Codes for dementia,a398571000006112,9000,Mixed cortical and subcortical vascular dementia
Semantic dementia (disorder),b230288001,Codes for dementia,a5005871000006119,20,Semantic dementia
Alzheimer's disease (disorder),b26929004,Codes for dementia,a45046017,700000,Alzheimer's disease
Alzheimer's disease (disorder),b26929004,Codes for dementia,a295668011,300000,[X]Dementia in Alzheimer's disease
Alzheimer's disease (disorder),b26929004,Codes for dementia,a295671015,100000,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
Alzheimer's disease (disorder),b26929004,Codes for dementia,a295672010,10000,"[X]Dementia in Alzheimer's disease, unspecified"
Alzheimer's disease (disorder),b26929004,Codes for dementia,a299325013,400,[X]Other Alzheimer's disease
Alzheimer's disease (disorder),b26929004,Codes for dementia,a363021000006113,50000,[X]Alzheimer's dementia unspec
Alzheimer's disease (disorder),b26929004,Codes for dementia,a2931231000006118,1,AD - Alzheimer's disease
Alzheimer's disease (disorder),b26929004,Codes for dementia,a2931241000006111,100,Alzheimer disease
Alzheimer's disease (disorder),b26929004,Codes for dementia,a2931251000006113,500,Alzheimer dementia
Cerebral degeneration presenting primarily with dementia (disorder),b279982005,Codes for dementia,a359101000006114,300,Cerebral degeneration presenting primarily with dementia
