Biomarker/Risk factor 	Source of Code list	Reviewed by CPRD team (date)	Signed off by CPRD team	Data extraction made (date)	Data transfer (date)	Notes	Biomarker (values on continous scale)	Mostly commonly used measurement units	Lower biological plausible limit	Upper biological plausible limit	Source of plausible limits (literature (SS), clinician, Scoping review (CH), internet)	Evidence for plausible limits
Alanine aminotransaminase (ALT) Serum/plasma (also known as alanine aminotransferase)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					IU/I	0	1000		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4953107/#:~:text=Typically%2C%20ALT%20levels%20in%20these,the%20gastroenterology%20or%20hepatology%20teams.
Albumin (Serum/plasma)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					g/dl	0	200	Literature (SS)	
Albumin (Urine): Urine albumin level	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mg/mmol	0	1000	Literature (SS)	
Alkaline phosphatase (ALP) (serum & total)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					U/L	0	3400	Literature (SS)	https://pubmed.ncbi.nlm.nih.gov/9855266/
Amylase (Serum/plasma)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					U/L	20	400	Literature (SS)	https://www.ncbi.nlm.nih.gov/books/NBK557738/
Ankle brachial index (unpsecified, left, right	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ratio	0	1.7	Literature (SS)	
Anti-cyclic citrullinated peptide CCP (Serum)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					U/mL	0	800	Literature (SS)	
Antithrombin (previously called Antithrombin III)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						5	300		Normal range- 80 – 129%
Anxiety questionnaire (GAD-7)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					N/A	0	21	Internet	
Aspartate transaminase (AST) plasma (also known as aspartate aminotransferase)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					IU/l	0	1000		https://www.aafp.org/pubs/afp/issues/1999/0415/p2223.html#:~:text=Typical%20AST%20or%20ALT%20Values%20in%20Disease&text=In%20patients%20with%20uncomplicated%20alcoholic,ischemic%20or%20toxic%20liver%20injury.
Asthma control questionnaire (ACQ)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					N/A	0	42	Internet	https://www.thoracic.org/members/assemblies/assemblies/srn/questionaires/acq.php
Astham Control test	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					N/A	0	25	Internet	https://www.asthmacontroltest.com/en-gb/welcome/
B12 (plasma/serum)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					pg/mL	0	10000	Literature (SS)	
Basophil count	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					10*9/l	0	1.5		From previous tasks sheet
Basophils %	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					%	0	30		https://www.verywellhealth.com/what-are-basophils-797206#:~:text=Basophilia%20can%20also%20be%20a,may%20also%20have%20elevated%20basophils.
BMI	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					kg/m2	5	70		https://pubmed.ncbi.nlm.nih.gov/35569150/#:~:text=This%20article%20presents%20gastrointestinal%20and,only%206.7%20kg%2Fm%C2%B2).
Body weight	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y							340		Use guiness book of records
Calcium (Serum) plasma	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmol/L	0	8	Literature (SS)	https://emcrit.org/ibcc/hypercalcemia/
Calcium adjusted (Serum) or corrected plasma	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					Missing	0	8	Clinician	
