Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Intermittent claudication of bilateral lower limbs due to atherosclerosis of nonbiological bypass graft (finding),b16013431000119104,Peripheral arterial disease (PAD) diagnostic codes,a14180191000006115,2,Bilateral intermittent claudication of lower limbs due to atherosclerosis of nonbiological bypass graft
Peripheral ischemia (disorder),b233958001,Peripheral arterial disease (PAD) diagnostic codes,a350533013,8000,Peripheral ischaemia
Peripheral ischemia (disorder),b233958001,Peripheral arterial disease (PAD) diagnostic codes,a350535018,10000,Peripheral ischaemic vascular disease
Peripheral ischemia (disorder),b233958001,Peripheral arterial disease (PAD) diagnostic codes,a5057981000006111,1,Peripheral ischemic vascular disease
Lower limb ischemia (disorder),b233961000,Peripheral arterial disease (PAD) diagnostic codes,a742481000006118,30000,Ischaemic leg
Lower limb ischemia (disorder),b233961000,Peripheral arterial disease (PAD) diagnostic codes,a5058071000006110,4000,Lower limb ischaemia
Lower limb ischemia (disorder),b233961000,Peripheral arterial disease (PAD) diagnostic codes,a5058081000006113,4,Lower limb ischemia
Lower limb ischemia (disorder),b233961000,Peripheral arterial disease (PAD) diagnostic codes,a5058091000006111,2,Ischemic leg
Ischemic foot (disorder),b301755001,Peripheral arterial disease (PAD) diagnostic codes,a443199013,10000,Ischaemic foot
Ischemic foot (disorder),b301755001,Peripheral arterial disease (PAD) diagnostic codes,a5898341000006114,2,Ischemic foot
Trash foot (disorder),b307406004,Peripheral arterial disease (PAD) diagnostic codes,a5967911000006119,2,Trash foot
Ischemic toe (disorder),b307408003,Peripheral arterial disease (PAD) diagnostic codes,a450665015,10000,Ischaemic toe
Peripheral arterial occlusive disease (disorder),b399957001,Peripheral arterial disease (PAD) diagnostic codes,a1847121000006114,20000,Peripheral arterial disease
Peripheral arterial occlusive disease (disorder),b399957001,Peripheral arterial disease (PAD) diagnostic codes,a6632221000006112,2000,Peripheral arterial occlusive disease
Peripheral arterial occlusive disease (disorder),b399957001,Peripheral arterial disease (PAD) diagnostic codes,a6632251000006115,2,Peripheral angiopathy
Peripheral arterial occlusive disease (disorder),b399957001,Peripheral arterial disease (PAD) diagnostic codes,a6632271000006113,5,Peripheral artery occlusive disease
Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus (disorder),b723870003,Peripheral arterial disease (PAD) diagnostic codes,a7848701000006116,10,Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus
