Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Thunderstorm asthma (disorder),b829976001,Asthma diagnosis codes,a13930321000006112,1,Thunderstorm asthma
Drug-induced asthma (disorder),b93432008,Asthma diagnosis codes,a4020511000006119,2,Drug-induced asthma
Acute exacerbation of asthma co-occurrent with allergic rhinitis (disorder),b99031000119107,Asthma diagnosis codes,a8031201000006110,1,Acute exacerbation of asthma co-occurrent with allergic rhinitis
Severe controlled persistent asthma (disorder),b10675391000119101,Asthma diagnosis codes,a9315071000006117,1,Severe controlled persistent asthma
Mild persistent asthma uncontrolled (finding),b10676191000119106,Asthma diagnosis codes,a9315301000006113,10,Mild persistent asthma uncontrolled
Moderate persistent asthma uncontrolled (finding),b10676711000119103,Asthma diagnosis codes,a9315461000006115,10,Moderate persistent asthma uncontrolled
Chronic obstructive asthma co-occurrent with acute exacerbation of asthma (disorder),b10692721000119102,Asthma diagnosis codes,a9317311000006119,4,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma
Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),b10692761000119107,Asthma diagnosis codes,a1948051000006112,30000,Asthma-chronic obstructive pulmonary disease overlap syndrome
Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),b10692761000119107,Asthma diagnosis codes,a9317331000006113,9,Asthma-COPD overlap syndrome (ACOS)
Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),b10692761000119107,Asthma diagnosis codes,a9317341000006115,80,ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome
Life threatening acute exacerbation of allergic asthma (disorder),b1086701000000102,Asthma diagnosis codes,a151338014,2000,Life threatening acute exacerbation of allergic asthma
Severe asthma with fungal sensitisation (disorder),b1103911000000103,Asthma diagnosis codes,a12618341000006116,2,Severe asthma with fungal sensitisation
Millers' asthma (disorder),b11641008,Asthma diagnosis codes,a2685251000006117,1,Millers' asthma
Intermittent asthma uncontrolled (disorder),b1741000119102,Asthma diagnosis codes,a7970131000006117,10,Intermittent asthma uncontrolled
Mixed asthma (disorder),b195977004,Asthma diagnosis codes,a301509017,10000,Mixed asthma
Childhood asthma (disorder),b233678006,Asthma diagnosis codes,a350147016,70000,Childhood asthma
Hay fever with asthma (disorder),b233683003,Asthma diagnosis codes,a350153016,10000,Hay fever with asthma
Hay fever with asthma (disorder),b233683003,Asthma diagnosis codes,a350154010,20000,Pollen asthma
Hay fever with asthma (disorder),b233683003,Asthma diagnosis codes,a817361000006114,50000,Hay fever with asthma
Steroid dependent asthma (disorder),b2360001000004109,Asthma diagnosis codes,a8555681000006115,8,Steroid dependent asthma
Acute asthma (disorder),b304527002,Asthma diagnosis codes,a11922851000006115,1000,Acute asthma
