Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
Benign hypertension (disorder),b10725009,Hypertension diagnosis codes,a2670511000006119,9,Benign hypertension
Multiple drug intolerant hypertension (disorder),b1078301000112109,Hypertension diagnosis codes,a13688011000006110,1,Multiple drug intolerant hypertension
Benign essential hypertension (disorder),b1201005,Hypertension diagnosis codes,a3135013,300000,Benign essential hypertension
Renovascular hypertension (disorder),b123799005,Hypertension diagnosis codes,a299683014,1000,Renovascular hypertension
Renovascular hypertension (disorder),b123799005,Hypertension diagnosis codes,a4356081000006115,2,Hypertension due to renovascular disease
Secondary benign hypertension (disorder),b194785008,Hypertension diagnosis codes,a299678018,400,Secondary benign hypertension
Secondary benign hypertension (disorder),b194785008,Hypertension diagnosis codes,a299680012,200,Benign secondary hypertension
Hypertension secondary to endocrine disorder (disorder),b194788005,Hypertension diagnosis codes,a299681011,1000,Hypertension secondary to endocrine disorders
Hypertension secondary to endocrine disorder (disorder),b194788005,Hypertension diagnosis codes,a4775831000006118,20,Hypertension secondary to endocrine disorder
Hypertension caused by drug (disorder),b194791005,Hypertension diagnosis codes,a299684015,500,Hypertension secondary to drug
"Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)",b198942000,Hypertension diagnosis codes,a504831000006116,4000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium"
"Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)",b198942000,Hypertension diagnosis codes,a887811000006117,50,Preg.+ pre-existing hypertensn
"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)",b198944004,Hypertension diagnosis codes,a504791000006111,700,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered"
"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)",b198946002,Hypertension diagnosis codes,a504821000006119,70,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered"
"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)",b198947006,Hypertension diagnosis codes,a504781000006113,80,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication"
"Renal hypertension complicating pregnancy, childbirth and the puerperium (disorder)",b198949009,Hypertension diagnosis codes,a176961000006112,10,Renal hypertension in pregnancy/childbirth/puerp unspecified
"Renal hypertension complicating pregnancy, childbirth and the puerperium (disorder)",b198949009,Hypertension diagnosis codes,a176971000006117,200,"Renal hypertension complicating pregnancy, childbirth and the puerperium"
"Renal hypertension complicating pregnancy, childbirth and the puerperium (disorder)",b198949009,Hypertension diagnosis codes,a176981000006119,20,Renal hypertension in pregnancy/childbirth/puerperium NOS
"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)",b198952001,Hypertension diagnosis codes,a176931000006115,6,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)",b198953006,Hypertension diagnosis codes,a176941000006113,10,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered"
Pre-eclampsia or eclampsia with pre-existing hypertension (disorder),b198997005,Hypertension diagnosis codes,a305818015,700,Pre-eclampsia or eclampsia with pre-existing hypertension
Pre-eclampsia or eclampsia with pre-existing hypertension (disorder),b198997005,Hypertension diagnosis codes,a212961000006118,400,Pre-eclampsia or eclampsia + pre-existing hypertension NOS
Pre-eclampsia or eclampsia with pre-existing hypertension (disorder),b198997005,Hypertension diagnosis codes,a213011000006113,1000,Pre-eclampsia or eclampsia with hypertension unspecified
Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered (disorder),b199002002,Hypertension diagnosis codes,a213001000006110,200,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered
Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication (disorder),b199003007,Hypertension diagnosis codes,a212971000006113,100,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication
"Pre-existing hypertension complicating pregnancy, childbirth and puerperium (disorder)",b199005000,Hypertension diagnosis codes,a213111000006112,90,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium"
"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium (disorder)",b199006004,Hypertension diagnosis codes,a213091000006115,6,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"
"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium (disorder)",b199008003,Hypertension diagnosis codes,a213081000006118,40,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium"
Secondary hypertension (disorder),b31992008,Hypertension diagnosis codes,a53452019,30000,Secondary hypertension
Secondary hypertension (disorder),b31992008,Hypertension diagnosis codes,a299682016,900,Secondary hypertension NOS
Secondary hypertension (disorder),b31992008,Hypertension diagnosis codes,a300870016,100,[X]Other secondary hypertension
Secondary hypertension (disorder),b31992008,Hypertension diagnosis codes,a300871017,300,[X]Hypertension secondary to other renal disorders
Secondary hypertension (disorder),b31992008,Hypertension diagnosis codes,a158241000006117,1000,Secondary hypertension NOS
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a64168014,10000000,Hypertensive disease
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a299686018,4000,Other specified hypertensive disease
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a299687010,800000,Hypertensive disorder
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a300869017,400,[X]Hypertensive diseases
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a523801000006119,70000,BP - hypertensive disease
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a790121000006116,800000,Hypertension
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a3117411000006118,80,High blood pressure
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a3117451000006117,3,BP - High blood pressure
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a3117461000006115,6,Systemic arterial hypertension
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a3117481000006113,50,HT - Hypertension
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a3117491000006111,1,High blood pressure disorder
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a3117511000006117,50,HTN - Hypertension
"Hypertensive disorder, systemic arterial (disorder)",b38341003,Hypertension diagnosis codes,a3117521000006113,1,"Hypertensive disorder, systemic arterial"
Postpartum pre-existing essential hypertension (disorder),b40511000119107,Hypertension diagnosis codes,a8016541000006110,6,Postpartum pre-existing essential hypertension
Systolic essential hypertension (disorder),b429457004,Hypertension diagnosis codes,a7103581000006114,20,Systolic essential hypertension
Diastolic hypertension (disorder),b48146000,Hypertension diagnosis codes,a80224019,3000,Diastolic hypertension
Systolic hypertension (disorder),b56218007,Hypertension diagnosis codes,a93494011,60000,Systolic hypertension
Essential hypertension (disorder),b59621000,Hypertension diagnosis codes,a99042012,30000000,Essential hypertension
Essential hypertension (disorder),b59621000,Hypertension diagnosis codes,a99047018,700,Primary hypertension
Essential hypertension (disorder),b59621000,Hypertension diagnosis codes,a395751018,900000,Essential hypertension NOS
Essential hypertension (disorder),b59621000,Hypertension diagnosis codes,a3468491000006113,6,Idiopathic hypertension
Malignant hypertension (disorder),b70272006,Hypertension diagnosis codes,a3642801000006112,2000,Malignant hypertension
Supine hypertension (disorder),b712832005,Hypertension diagnosis codes,a7696031000006114,20,Supine hypertension
Secondary diastolic hypertension (disorder),b74451002,Hypertension diagnosis codes,a3710191000006113,1,Secondary diastolic hypertension
